District Name,District Code,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% H.S. Equiv.,% Dropped Out,% Permanently Excluded
Millbury,01860000,       108,    94.4,     2.8,     0.0,     0.0,     2.8,     0.0
Millis,01870000,        95,    98.9,     1.1,     0.0,     0.0,     0.0,     0.0
Milton,01890000,       248,    96.0,     3.2,     0.0,     0.0,     0.8,     0.0
Minuteman Regional Vocational Technical,08300000,       125,    90.4,     8.8,     0.0,     0.0,     0.8,     0.0
Mohawk Trail,07170000,        68,    85.3,     5.9,     1.5,     2.9,     4.4,     0.0
Monomoy Regional School District,07120000,       118,    90.7,     4.2,     0.0,     0.8,     3.4,     0.8
Monson,01910000,        71,    94.4,     2.8,     0.0,     0.0,     2.8,     0.0
Montachusett Regional Vocational Technical,08320000,       322,    97.2,     1.6,     0.0,     0.3,     0.9,     0.0
Mount Greylock,07150000,        91,    92.3,     3.3,     0.0,     0.0,     4.4,     0.0
Mystic Valley Regional Charter (District),04700000,        88,   100.0,     0.0,     0.0,     0.0,     0.0,     0.0
Nantucket,01970000,       136,    89.7,     1.5,     3.7,     0.0,     5.1,     0.0
Narragansett,07200000,        81,    96.3,     2.5,     0.0,     0.0,     1.2,     0.0
Nashoba,07250000,       248,    94.4,     3.2,     0.0,     0.0,     2.4,     0.0
Nashoba Valley Regional Vocational Technical,08520000,       171,    96.5,     1.8,     0.0,     0.0,     1.8,     0.0
Natick,01980000,       381,    96.3,     1.8,     0.8,     0.0,     1.0,     0.0
Nauset,06600000,       250,    94.0,     4.4,     0.0,     0.4,     1.2,     0.0
Needham,01990000,       449,    97.3,     2.0,     0.0,     0.0,     0.7,     0.0
New Bedford,02010000,       520,    71.9,     6.7,     7.7,     0.6,    13.1,     0.0
Newburyport,02040000,       191,    93.2,     2.1,     1.0,     0.0,     3.7,     0.0
Newton,02070000,"     1,002",    95.6,     3.4,     0.0,     0.2,     0.8,     0.0
Norfolk County Agricultural,09150000,       139,    98.6,     0.7,     0.0,     0.0,     0.7,     0.0
North Adams,02090000,        95,    82.1,     2.1,     4.2,     1.1,    10.5,     0.0
North Andover,02110000,       406,    96.6,     2.0,     1.0,     0.2,     0.2,     0.0
North Attleborough,02120000,       289,    93.1,     3.1,     0.3,     0.0,     3.5,     0.0
North Brookfield,02150000,        41,    85.4,     4.9,     0.0,     0.0,     9.8,     0.0
North Middlesex,07350000,       198,    91.4,     6.1,     0.0,     0.5,     2.0,     0.0
North Reading,02170000,       192,    96.4,     1.6,     0.0,     1.0,     1.0,     0.0
Northampton,02100000,       223,    93.3,     4.0,     0.0,     0.9,     1.8,     0.0
Northampton-Smith Vocational Agricultural,04060000,       133,    91.7,     0.8,     0.0,     0.0,     7.5,     0.0
Northboro-Southboro,07300000,       368,    97.8,     1.4,     0.3,     0.0,     0.5,     0.0
Northbridge,02140000,       145,    87.6,     2.1,     0.0,     2.1,     8.3,     0.0
Northeast Metropolitan Regional Vocational Technical,08530000,       288,    98.6,     0.7,     0.0,     0.0,     0.7,     0.0
Northern Berkshire Regional Vocational Technical,08510000,       111,    97.3,     0.9,     0.0,     0.0,     1.8,     0.0
Norton,02180000,       192,    95.3,     2.1,     0.0,     0.0,     2.6,     0.0
Norwell,02190000,       178,    97.2,     2.2,     0.0,     0.0,     0.6,     0.0
Norwood,02200000,       246,    93.1,     3.7,     0.4,     0.4,     2.4,     0.0
Old Colony Regional Vocational Technical,08550000,       132,    97.0,     0.0,     0.0,     0.8,     2.3,     0.0
Old Rochester,07400000,       188,    96.8,     0.5,     0.0,     0.5,     2.1,     0.0
Oxford,02260000,       108,    79.6,     8.3,     1.9,     0.9,     9.3,     0.0
Palmer,02270000,       105,    91.4,     1.9,     3.8,     0.0,     2.9,     0.0
Pathfinder Regional Vocational Technical,08600000,       129,    92.2,     2.3,     1.6,     0.0,     3.9,     0.0
Paulo Freire Social Justice Charter School (District),35010000,        72,    77.8,    19.4,     2.8,     0.0,     0.0,     0.0
Peabody,02290000,       375,    86.4,     5.6,     1.1,     0.0,     6.9,     0.0
Pembroke,02310000,       233,    96.6,     1.3,     0.0,     0.9,     1.3,     0.0
Pentucket,07450000,       159,    93.1,     1.3,     0.0,     1.3,     4.4,     0.0
Phoenix Academy Public Charter High School Lawrence (District),35180000,        26,     7.7,    69.2,     0.0,     0.0,    23.1,     0.0
Phoenix Academy Public Charter High School Springfield (District),35080000,        74,    12.2,    23.0,     0.0,     2.7,    62.2,     0.0
Phoenix Charter Academy (District),04930000,        74,     5.4,    25.7,     0.0,     5.4,    63.5,     0.0
Pioneer Charter School of Science (District),04940000,        37,    97.3,     0.0,     2.7,     0.0,     0.0,     0.0
Pioneer Charter School of Science II (PCSS-II) (District),35060000,        44,   100.0,     0.0,     0.0,     0.0,     0.0,     0.0
Pioneer Valley,07500000,        59,    96.6,     1.7,     0.0,     0.0,     1.7,     0.0
Pioneer Valley Chinese Immersion Charter (District),04970000,        17,    94.1,     0.0,     0.0,     0.0,     5.9,     0.0
Pioneer Valley Performing Arts Charter Public (District),04790000,        66,    86.4,     4.5,     0.0,     4.5,     4.5,     0.0
Pittsfield,02360000,       392,    84.4,     6.9,     0.8,     0.5,     7.4,     0.0
Plymouth,02390000,       602,    93.4,     1.2,     1.2,     1.0,     3.3,     0.0
