District Name,District Code,Attendance Rate,Average # of Absences,Absent 10 or more days,Chronically Absent (10% or more),Unexcused > 9 days
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),04520000,  92.0,   8.4,  29.4,  27.6,  13.4
Erving,00910000,  92.6,   7.9,  26.5,  22.1,   0.0
Essex North Shore Agricultural and Technical School District,08170000,  96.1,   4.4,   9.8,   5.9,   1.7
Everett,00930000,  93.4,   7.1,  22.6,  19.0,  20.2
Excel Academy Charter (District),04100000,  93.9,   6.9,  22.6,  18.0,  16.3
Fairhaven,00940000,  95.4,   5.1,  12.1,   8.8,   4.5
Fall River,00950000,  92.5,   8.0,  29.2,  23.0,  17.6
Falmouth,00960000,  94.5,   5.8,  16.2,  13.8,   8.7
Farmington River Reg,06620000,  94.2,   6.4,  21.7,  13.0,   1.7
Fitchburg,00970000,  93.5,   6.8,  24.1,  22.4,  13.4
Florida,00980000,  95.1,   5.4,  11.3,   7.2,   0.0
Four Rivers Charter Public (District),04130000,  92.5,   8.1,  25.3,  24.0,  18.1
Foxborough,00990000,  96.0,   4.3,   8.3,   6.8,   0.0
Foxborough Regional Charter (District),04460000,  96.3,   4.0,   9.2,   7.7,   6.0
Framingham,01000000,  94.2,   6.0,  17.2,  16.1,   9.1
Francis W. Parker Charter Essential (District),04780000,  94.1,   6.5,  17.8,  15.0,   0.0
Franklin,01010000,  95.7,   4.6,  10.7,   8.6,   3.8
Franklin County Regional Vocational Technical,08180000,  96.5,   3.8,   5.9,   5.1,   0.0
Freetown-Lakeville,06650000,  95.8,   4.4,   9.5,   8.0,   1.8
Frontier,06700000,  94.6,   5.9,  19.2,  10.6,   0.0
Gardner,01030000,  93.8,   6.3,  21.1,  19.1,  14.1
Gateway,06720000,  93.9,   6.7,  22.8,  16.4,   0.5
Georgetown,01050000,  95.4,   4.8,  11.3,  10.8,   0.3
Gill-Montague,06740000,  94.0,   6.5,  20.0,  17.8,   6.9
Global Learning Charter Public (District),04960000,  96.3,   4.1,  10.8,   7.3,   2.2
Gloucester,01070000,  94.1,   6.2,  18.0,  15.4,  14.2
Grafton,01100000,  95.1,   5.3,  13.1,  10.8,   0.0
Granby,01110000,  96.5,   3.8,   7.5,   4.8,   4.3
Greater Fall River Regional Vocational Technical,08210000,  96.1,   4.2,   9.8,   7.9,   1.6
Greater Lawrence Regional Vocational Technical,08230000,  95.6,   4.7,  13.4,  11.7,  13.4
Greater Lowell Regional Vocational Technical,08280000,  94.9,   5.6,  16.3,  11.4,   6.6
Greater New Bedford Regional Vocational Technical,08250000,  96.6,   3.8,   8.7,   6.3,   4.5
Greenfield,01140000,  93.3,   7.1,  23.9,  21.7,  19.8
Greenfield Commonwealth Virtual District,39010000,  90.9,   9.1,  28.0,  28.6,   0.0
Groton-Dunstable,06730000,  96.5,   3.8,   7.3,   5.6,   2.9
Hadley,01170000,  94.9,   5.5,  16.0,  10.4,   1.1
Halifax,01180000,  95.6,   4.8,  10.7,   7.1,   6.9
Hamilton-Wenham,06750000,  96.1,   4.3,   8.7,   5.9,   1.3
Hampden Charter School of Science East (District),04990000,  95.5,   5.1,  12.8,   9.5,   1.9
